2025-04-06 00:30:01, 0.637073, 2025-04-06
2025-04-06 00:35:01, 0.638956, 2025-04-06
2025-04-06 00:40:01, 0.645192, 2025-04-06
2025-04-06 00:45:02, 0.647914, 2025-04-06
2025-04-06 00:50:01, 0.645842, 2025-04-06
2025-04-06 00:55:01, 0.668104, 2025-04-06
2025-04-06 01:00:01, 0.677392, 2025-04-06
2025-04-06 01:05:01, 0.666077, 2025-04-06
2025-04-06 01:10:01, 0.659172, 2025-04-06
2025-04-06 01:15:01, 0.658475, 2025-04-06
2025-04-06 01:20:01, 0.652105, 2025-04-06
2025-04-06 01:25:01, 0.645644, 2025-04-06
2025-04-06 01:30:01, 0.63987, 2025-04-06
2025-04-06 01:35:01, 0.642352, 2025-04-06
2025-04-06 01:40:01, 0.640848, 2025-04-06
2025-04-06 01:45:01, 0.638827, 2025-04-06
2025-04-06 01:50:01, 0.637077, 2025-04-06
2025-04-06 01:55:01, 0.642965, 2025-04-06
2025-04-06 02:00:01, 0.64125, 2025-04-06
2025-04-06 02:05:01, 0.652535, 2025-04-06
2025-04-06 02:10:02, 0.658819, 2025-04-06
2025-04-06 02:15:01, 0.661243, 2025-04-06
2025-04-06 02:20:01, 0.657451, 2025-04-06
2025-04-06 02:25:01, 0.672285, 2025-04-06
2025-04-06 02:30:01, 0.67099, 2025-04-06
2025-04-06 02:35:01, 0.667082, 2025-04-06
2025-04-06 02:40:01, 0.666576, 2025-04-06
2025-04-06 02:45:01, 0.672418, 2025-04-06
2025-04-06 02:50:01, 0.66798, 2025-04-06
2025-04-06 02:55:02, 0.670359, 2025-04-06
2025-04-06 03:00:01, 0.668875, 2025-04-06
2025-04-06 03:05:01, 0.658063, 2025-04-06
2025-04-06 03:10:01, 0.651508, 2025-04-06
2025-04-06 03:15:01, 0.65219, 2025-04-06
2025-04-06 03:20:01, 0.649744, 2025-04-06
2025-04-06 03:25:01, 0.649302, 2025-04-06
2025-04-06 03:30:01, 0.649027, 2025-04-06
2025-04-06 03:35:02, 0.64868, 2025-04-06
2025-04-06 03:40:01, 0.643783, 2025-04-06
2025-04-06 03:45:01, 0.645024, 2025-04-06
2025-04-06 03:50:01, 0.637628, 2025-04-06
2025-04-06 03:55:01, 0.6414, 2025-04-06
2025-04-06 04:00:01, 0.638405, 2025-04-06
2025-04-06 04:05:01, 0.637343, 2025-04-06
2025-04-06 04:10:01, 0.638938, 2025-04-06
2025-04-06 04:15:01, 0.63713, 2025-04-06
2025-04-06 04:20:02, 0.641304, 2025-04-06
2025-04-06 04:25:01, 0.645023, 2025-04-06
2025-04-06 04:30:01, 0.645681, 2025-04-06
2025-04-06 04:35:01, 0.652907, 2025-04-06
2025-04-06 04:40:01, 0.652896, 2025-04-06
2025-04-06 04:45:01, 0.65453, 2025-04-06
2025-04-06 04:50:01, 0.656968, 2025-04-06
2025-04-06 04:55:01, 0.651388, 2025-04-06
2025-04-06 05:00:01, 0.642304, 2025-04-06
2025-04-06 05:05:02, 0.648722, 2025-04-06
2025-04-06 05:10:01, 0.649181, 2025-04-06
2025-04-06 05:15:01, 0.65238, 2025-04-06
2025-04-06 05:20:01, 0.651478, 2025-04-06
2025-04-06 05:25:01, 0.649782, 2025-04-06
2025-04-06 05:30:01, 0.653874, 2025-04-06
2025-04-06 05:35:01, 0.656023, 2025-04-06
2025-04-06 05:40:01, 0.658626, 2025-04-06
2025-04-06 05:45:01, 0.664216, 2025-04-06
